SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
SSTRewards.sol,,125,DynaMOSA,true,0.75,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,6,6,1,1729.7539999485016,18,201,192
FrogDAO.sol,,86,DynaMOSA,true,0.8421052631578947,0,0,0,21,25,0.84,10,10,1,4,4,1,1677.6920001506805,14,162,192
Token50X100.sol,,187,DynaMOSA,false,0.32894736842105265,3,36,0.08333333333333333,44,146,0.3013698630136986,22,40,0.55,13,50,0.26,1693.1840000152588,18,208,69
ANRXToken.sol,,773,DynaMOSA,false,0.782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1788.9089999198914,16,181,69
TPA.sol,,421,DynaMOSA,false,0.7469879518072289,5,18,0.2777777777777778,104,150,0.6933333333333334,57,65,0.8769230769230769,44,56,0.7857142857142857,1727.1280000209808,13,145,69
CourtFarming_RoomLPStake.sol,,446,DynaMOSA,false,0.6153846153846154,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1672.220999956131,13,152,69
TokenDispatch.sol,,23,DynaMOSA,false,0.21875,0,22,0,20,100,0.2,7,10,0.7,7,34,0.20588235294117646,1746.7979998588562,48,532,69
Baz.sol,,76,DynaMOSA,false,0.9,7,8,0.875,14,16,0.875,2,2,1,0,0,0,1695.5039999485016,15,175,69
MarsStakingRewards.sol,,331,DynaMOSA,false,0.6229508196721312,4,12,0.3333333333333333,55,115,0.4782608695652174,33,49,0.673469387755102,18,42,0.42857142857142855,1672.798999786377,14,160,69
Reentrance.sol,,748,DynaMOSA,false,0.375,1,4,0.25,6,24,0.25,4,12,0.3333333333333333,2,10,0.2,1718.7800002098083,21,233,69
ThriftToken.sol,,490,DynaMOSA,false,0.8461538461538461,1,2,0.5,39,58,0.6724137931034483,10,11,0.9090909090909091,34,52,0.6538461538461539,1717.7239999771118,19,216,69
Revive.sol,,280,DynaMOSA,false,0.7333333333333333,9,22,0.4090909090909091,75,109,0.6880733944954128,33,38,0.868421052631579,26,36,0.7222222222222222,1679.8590002059937,14,164,69
SLTDETHlpReward.sol,,0,DynaMOSA,false,0.7213114754098361,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1666.3970000743866,14,162,87
Vat.sol,,819,DynaMOSA,false,0.8378378378378378,4,8,0.5,60,98,0.6122448979591837,27,29,0.9310344827586207,34,62,0.5483870967741935,1705.7910001277924,20,230,87
FrogDAOGovernanceRewards.sol,,149,DynaMOSA,false,0.7307692307692307,5,10,0.5,30,56,0.5357142857142857,13,16,0.8125,8,16,0.5,1678.3899998664856,17,194,87
PRDZstakingV2.sol,,249,DynaMOSA,false,0.47692307692307695,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1669.101000070572,14,164,87
EqFinanceStaking.sol,,853,DynaMOSA,false,0.4,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1782.2130000591278,20,228,87
ZAD.sol,,897,DynaMOSA,false,0.6451612903225806,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,13,22,0.5909090909090909,1702.9679999351501,19,212,87
Wallet.sol,,538,DynaMOSA,false,1,0,0,0,2,6,0.3333333333333333,2,2,1,2,4,0.5,0,0,10,87
YRX3.sol,,827,DynaMOSA,false,0.696969696969697,7,18,0.3888888888888889,65,108,0.6018518518518519,35,48,0.7291666666666666,18,34,0.5294117647058824,1703.0360000133514,14,162,87
WOLF.sol,,625,DynaMOSA,false,0.43333333333333335,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,1683.1840000152588,16,179,87
PlasmaswapPair.sol,,606,DynaMOSA,true,0.18333333333333332,0,23,0,20,99,0.20202020202020202,8,14,0.5714285714285714,5,22,0.22727272727272727,1702.5460000038147,17,188,176
QuickToken.sol,,395,DynaMOSA,true,0.6461538461538462,3,8,0.375,53,76,0.6973684210526315,16,23,0.6956521739130435,24,34,0.7058823529411765,1759.6349999904633,23,254,176
UNIWHALE_ERC20.sol,,81,DynaMOSA,true,0.4090909090909091,0,6,0,17,41,0.4146341463414634,7,8,0.875,2,8,0.25,1704.3320000171661,21,238,176
WheatFarm.sol,,159,DynaMOSA,true,0.1650485436893204,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1726.835000038147,29,321,176
MIMOToken.sol,,47,DynaMOSA,true,0.8333333333333334,1,2,0.5,25,43,0.5813953488372093,10,10,1,10,12,0.8333333333333334,1691.856999874115,15,173,176
Final.sol,,444,DynaMOSA,true,0.1650485436893204,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1653.3970000743866,14,157,176
BirdOracle.sol,,343,DynaMOSA,true,0.6829268292682927,16,28,0.5714285714285714,45,66,0.6818181818181818,9,9,1,0,2,0,1793.2439999580383,27,298,176
LpStaking.sol,,351,DynaMOSA,true,0.2631578947368421,2,24,0.08333333333333333,29,139,0.20863309352517986,19,48,0.3958333333333333,8,42,0.19047619047619047,1699.5550000667572,15,174,176
Liquidity_v8.sol,,209,DynaMOSA,true,0.30303030303030304,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,14,48,0.2916666666666667,1654.5989999771118,12,142,176
REXUNIFINANCE.sol,,774,DynaMOSA,true,0.7692307692307693,1,2,0.5,42,58,0.7241379310344828,10,11,0.9090909090909091,40,52,0.7692307692307693,1726.1819999217987,19,212,176
GardenContractV2.sol,,736,DynaMOSA,false,0.3404255319148936,7,62,0.11290322580645161,50,197,0.25380710659898476,25,32,0.78125,0,22,0,1669.811999797821,13,147,101
